title,title_KO,title_ORG,type,genres,genres_KO,releaseYear,length,ratings,production_countries,imdbAverageRating,imdbNumVotes,isAvaliableInDifferentPlatform,platforms,director,best_rank,top10_period,top100_period,top1000_period,length_in_minutes
kalifat,칼리프의 나라,Kalifat,tv,"Dramas, War, Thriller, Crime","드라마, 전쟁, 스릴러, 범죄",2020,48분,N/A,스웨덴,8.2,23k,False,"Netflix, Netflix basic with Ads",Goran Kapetanović,4,2 DAYS,7 DAYS,392 DAYS,48.0
the-ladies-with-style,THE LADIES WITH STYLE,Banyana Ba Style,movie,Documentary,다큐멘터리,2023,1시간 14분,12+,남아프리카공화국,N/A,N/A,False,"Netflix, Netflix basic with Ads",N/A,35,0 DAYS,2 DAYS,7 DAYS,74.0
bordeless-ae-group-documentary,BORDELESS – Aぇ! GROUP DOCUMENTARY,BORDERLESS　Aぇ! group デビューまでのキセキ,tv,Unknown,,2024,36분,12+,일본,N/A,N/A,False,"Netflix, Netflix basic with Ads",N/A,219,0 DAYS,0 DAYS,6 DAYS,36.0
the-american-barbecue-showdown,아메리칸 바비큐 최후의 마스터,Barbecue Showdown,tv,Reality-TV,Reality TV,2020,44분,12,미국,7.2,2k,False,"Netflix, Netflix basic with Ads",N/A,28,0 DAYS,5 DAYS,35 DAYS,44.0
deo-yunion,더 유니온,The Union,movie,"Action, Comedy, Thriller","액션, 코미디, 스릴러",2024,1시간 49분,15,미국,5.4,43k,False,"Netflix, Netflix basic with Ads",Julian Farino,2,9 DAYS,34 DAYS,89 DAYS,109.0
ode-to-my-father,국제시장,N/A,movie,"Dramas, War","드라마, 전쟁",2014,2시간 6분,N/A,대한민국,N/A,N/A,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",JK Youn,40,0 DAYS,6 DAYS,244 DAYS,126.0
mr-bachchan,MR BACHCHAN,మిస్టర్‌ బచ్చన్,movie,"Action, Dramas, Romance, Crime, Thriller","액션, 드라마, 로맨스, 범죄, 스릴러",2024,2시간 40분,15+,인도,3.6,5k,False,"Netflix, Netflix basic with Ads",Harish Shankar,312,0 DAYS,0 DAYS,7 DAYS,160.0
naeil,내일,N/A,tv,"Action, Dramas, Sci-Fi, Comedy, Fantasy","액션, 드라마, SF, 코미디, 판타지",2022,1시간 1분,15,대한민국,8.0,14k,False,"Netflix, Netflix basic with Ads",Kim Tae-yun,37,0 DAYS,10 DAYS,248 DAYS,61.0
teen-titans-go,TEEN TITANS GO!,N/A,tv,"Crime, Fantasy, Anime, Action, Dramas, Family, Comedy, Sci-Fi","범죄, 판타지, 애니메이션, 액션, 드라마, 가족, 코미디, SF",2013,18분,7,미국,5.7,26k,False,"Netflix, Netflix basic with Ads",N/A,22,0 DAYS,9 DAYS,582 DAYS,18.0
a-time-called-you,NEOUI SIGAN SOGEURO,A Time Called You,tv,"Romance, Sci-Fi, Dramas, Fantasy","로맨스, SF, 드라마, 판타지",2023,1시간 0분,15,대한민국,N/A,N/A,False,"Netflix, Netflix basic with Ads",N/A,5,1 DAYS,4 DAYS,188 DAYS,60.0
gangyi-bimil,강의 비밀,El secreto del río,tv,Dramas,드라마,2024,42분,19,멕시코,8.2,1k,False,"Netflix, Netflix basic with Ads",N/A,21,0 DAYS,2 DAYS,23 DAYS,42.0
woman-of-the-hour,오늘의 여자 주인공,Woman of the Hour,movie,"Dramas, Crime, Thriller","드라마, 범죄, 스릴러",2024,1시간 35분,N/A,미국,6.6,26k,False,"Netflix, Netflix basic with Ads",Anna Kendrick,1,13 DAYS,17 DAYS,43 DAYS,95.0
assassins-creed,어쌔신 크리드,Assassin's Creed,movie,"Action, Sci-Fi","액션, SF",2016,1시간 55분,15,"미국, 프랑스, 영국",5.6,211k,True,"Disney Plus, FilmBox+, Netflix, Naver Store, Amazon Prime Video, Watcha, Netflix basic with Ads",Justin Kurzel,2,3 DAYS,66 DAYS,678 DAYS,115.0
godless,그 땅에는 신이 없다,Godless,tv,"Dramas, Western, Action","드라마, 서부, 액션",2017,1시간 5분,19,미국,8.2,82k,False,"Netflix, Netflix basic with Ads",N/A,1,3 DAYS,37 DAYS,1368 DAYS,65.0
sky-kaeseul,SKY 캐슬,N/A,tv,"Comedy, Dramas","코미디, 드라마",2018,55분,15,대한민국,N/A,N/A,True,"Netflix, Disney Plus, Netflix basic with Ads, Naver Store",N/A,1,19 DAYS,54 DAYS,574 DAYS,55.0
mr-peabody-and-sherman,천재강아지 미스터 피바디,Mr. Peabody & Sherman,movie,"Action, Family, Anime, Sci-Fi, Comedy, Fantasy, History","액션, 가족, 애니메이션, SF, 코미디, 판타지, 역사",2014,1시간 32분,N/A,미국,6.8,79k,True,"Netflix, wavve, Naver Store",Rob Minkoff,170,0 DAYS,0 DAYS,54 DAYS,92.0
goyo,고요,Goyo,movie,"Comedy, Dramas, Romance","코미디, 드라마, 로맨스",2024,1시간 48분,N/A,Arjantin,6.5,2k,False,"Netflix, Netflix basic with Ads",Marcos Carnevale,5,2 DAYS,2 DAYS,19 DAYS,108.0
deo-eiteu-syo,THE 8 SHOW,N/A,tv,"Dramas, Thriller, Comedy","드라마, 스릴러, 코미디",2024,52분,19,대한민국,7.2,12k,False,"Netflix, Netflix basic with Ads",Han Jae-rim,1,9 DAYS,32 DAYS,171 DAYS,52.0
far-from-heaven,파 프롬 헤븐,Far from Heaven,movie,"Dramas, Romance, Unknown","드라마, 로맨스, 유럽에서 제작",2002,1시간 47분,N/A,"프랑스, 미국",7.3,50k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Todd Haynes,6,1 DAYS,7 DAYS,104 DAYS,107.0
seuwiteuhom,스위트홈,N/A,tv,"Sci-Fi, Action, Dramas, Fantasy, Horror, Thriller","SF, 액션, 드라마, 판타지, 공포, 스릴러",2020,58분,19,대한민국,7.2,35k,False,"Netflix, Netflix basic with Ads",N/A,1,6 DAYS,35 DAYS,339 DAYS,58.0
peosikyutideu,퍼시큐티드,Persecuted,movie,"Thriller, Action, Dramas","스릴러, 액션, 드라마",2014,1시간 33분,15,미국,N/A,N/A,True,"Netflix, Netflix basic with Ads, Naver Store",Daniel Lusko,4,1 DAYS,2 DAYS,10 DAYS,93.0
the-discovery,디스커버리,The Discovery,movie,"Romance, Sci-Fi, Thriller, Dramas","로맨스, SF, 스릴러, 드라마",2017,1시간 42분,N/A,미국,6.2,38k,False,"Netflix, Netflix basic with Ads",Charlie McDowell,1,12 DAYS,37 DAYS,292 DAYS,102.0
tutujangbuju-neoreul-johahae,투투장부주: 너를 좋아해,偷偷藏不住,tv,Dramas,드라마,2023,45분,12,China,N/A,N/A,False,"Netflix, Netflix basic with Ads",N/A,3,1 DAYS,7 DAYS,211 DAYS,45.0
ililsihoil,일일시호일,日日是好日,movie,Dramas,드라마,2018,1시간 40분,N/A,일본,N/A,N/A,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Tatsushi Ōmori,10,1 DAYS,4 DAYS,123 DAYS,100.0
teurigeo-weoning,트리거 워닝,Trigger Warning,movie,"Thriller, Action, Crime","스릴러, 액션, 범죄",2024,1시간 46분,N/A,미국,4.6,18k,False,"Netflix, Netflix basic with Ads",Mouly Surya,2,3 DAYS,11 DAYS,131 DAYS,106.0
