title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
The Fifth Element,movie,"Action, Adventure, Sci-Fi",1997.0,tt0119116,7.6,516750.0,"AT, CH, DE"
Kill Bill: Vol. 1,movie,"Action, Crime, Thriller",2003.0,tt0266697,8.2,1221088.0,"AE, AL, AO, AT, AU, AZ, BG, BH, BY, CA, CI, CM, CZ, DE, DK, EE, EG, FI, FJ, GH, GQ, GR, HR, HU, IQ, IS, IT, JO, KE, KR, KW, LB, LI, LT, LU, LV, LY, MC, MD, ME, MK, MT, MZ, NE, NG, NO, NZ, OM, PL, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, TR, TZ, UA, UG, YE, ZA, ZM, ZW"
Jarhead,movie,"Biography, Drama, War",2005.0,tt0418763,7.0,211418.0,"AD, AE, AG, AL, AO, AR, AT, AZ, BA, BB, BE, BG, BH, BM, BR, BS, BY, BZ, CH, CI, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NO, NZ, OM, PA, PE, PF, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
Unforgiven,movie,"Drama, Western",1992.0,tt0105695,8.2,443508.0,"AU, BA, BE, BG, CZ, HR, HU, MD, ME, MK, NZ, PL, RO, RS, SI, SK"
Eternal Sunshine of the Spotless Mind,movie,"Drama, Romance, Sci-Fi",2004.0,tt0338013,8.3,1102489.0,"AD, AE, AG, AL, AO, AR, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
Amores Perros,movie,"Drama, Thriller",2000.0,tt0245712,8.0,256497.0,"AG, AR, BB, BM, BO, BR, BS, BZ, CL, CO, CR, CU, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
A History of Violence,movie,"Action, Crime, Drama",2005.0,tt0399146,7.4,258813.0,"AD, CA, ES, GB, GG, IE, PT"
2001: A Space Odyssey,movie,"Adventure, Sci-Fi",1968.0,tt0062622,8.3,734444.0,"AU, NZ"
Talk to Her,movie,"Drama, Mystery, Romance",2002.0,tt0287467,7.9,118679.0,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GF, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
8 Mile,movie,"Drama, Music",2002.0,tt0298203,7.2,329801.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
