title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Kill Bill: Vol. 1,movie,"Action, Crime, Thriller",2003.0,tt0266697,8.2,1221088.0,"AE, AL, AO, AT, AU, AZ, BG, BH, BY, CA, CI, CM, CZ, DE, DK, EE, EG, FI, FJ, GH, GQ, GR, HR, HU, IQ, IS, IT, JO, KE, KR, KW, LB, LI, LT, LU, LV, LY, MC, MD, ME, MK, MT, MZ, NE, NG, NO, NZ, OM, PL, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, TR, TZ, UA, UG, YE, ZA, ZM, ZW"
Jarhead,movie,"Biography, Drama, War",2005.0,tt0418763,7.0,211418.0,"AD, AE, AG, AL, AO, AR, AT, AZ, BA, BB, BE, BG, BH, BM, BR, BS, BY, BZ, CH, CI, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NO, NZ, OM, PA, PE, PF, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
Eternal Sunshine of the Spotless Mind,movie,"Drama, Romance, Sci-Fi",2004.0,tt0338013,8.3,1102489.0,"AD, AE, AG, AL, AO, AR, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
8 Mile,movie,"Drama, Music",2002.0,tt0298203,7.2,329801.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
Memento,movie,"Mystery, Thriller",2000.0,tt0209144,8.4,1347511.0,"KR, TW"
Hero,movie,"Action, Adventure, Drama",2002.0,tt0299977,7.9,189166.0,"HK, KR, US"
Nausicaä of the Valley of the Wind,movie,"Adventure, Animation, Sci-Fi",1984.0,tt0087544,8.0,186664.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
Beverly Hills Cop,movie,"Action, Comedy, Crime",1984.0,tt0086960,7.4,219695.0,"IT, KR, NZ"
Beverly Hills Cop II,movie,"Action, Comedy, Crime",1987.0,tt0092644,6.6,140996.0,"IT, KR, NZ"
Gladiator,movie,"Action, Adventure, Drama",2000.0,tt0172495,8.5,1668967.0,"CA, KR"
Charlie and the Chocolate Factory,movie,"Adventure, Comedy, Family",2005.0,tt0367594,6.7,540127.0,"AD, AT, BA, BE, BG, CH, CZ, DE, DK, ES, FI, FJ, FR, GF, HK, HR, HU, ID, IN, JP, KR, LI, LU, MC, MD, ME, MK, MY, NO, PF, PH, PK, PL, PT, RO, RS, SE, SG, SI, SK, TH, TW"
The Lord of the Rings: The Fellowship of the Ring,movie,"Action, Adventure, Drama",2001.0,tt0120737,8.9,2054876.0,"CH, IN, IT, KR, SM"
The Lord of the Rings: The Two Towers,movie,"Action, Adventure, Drama",2002.0,tt0167261,8.8,1825670.0,"CH, IN, IT, KR, SM"
The Lord of the Rings: The Return of the King,movie,"Action, Adventure, Drama",2003.0,tt0167260,9.0,2025045.0,"CH, IN, IT, KR, SM"
