title_x,title_KO,title_ORG,type_x,genres_x,genres_KO,releaseYear_x,length,ratings,production_countries,imdbAverageRating_x,imdbNumVotes_x,isAvaliableInDifferentPlatform,platforms,director,best_rank,top10_period,top100_period,top1000_period,title_y,type_y,genres_y,releaseYear_y,imdbId,imdbAverageRating_y,imdbNumVotes_y,availableCountries
a-time-called-you,NEOUI SIGAN SOGEURO,A Time Called You,tv,"Romance, Sci-Fi, Dramas, Fantasy","로맨스, SF, 드라마, 판타지",2023,1시간 0분,15,대한민국,,,False,"Netflix, Netflix basic with Ads",,5.0,1 DAYS,4 DAYS,188 DAYS,A Time Called You,tv,"Drama, Fantasy, Romance",2023.0,tt21627438,7.8,4916.0,"AD, AE, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
woman-of-the-hour,오늘의 여자 주인공,Woman of the Hour,movie,"Dramas, Crime, Thriller","드라마, 범죄, 스릴러",2024,1시간 35분,,미국,6.6,26k,False,"Netflix, Netflix basic with Ads",Anna Kendrick,1.0,13 DAYS,17 DAYS,43 DAYS,Woman of the Hour,movie,"Crime, Drama, Mystery",2023.0,tt7737800,6.6,26178.0,"AD, AG, AU, BB, BE, BG, BM, BS, CH, FJ, FR, GB, GF, GG, GI, HK, HU, ID, IE, IT, JM, JP, KR, LC, LU, MC, MT, NL, NZ, PF, PH, RO, SG, SM, TC, TT, US, ZA"
assassins-creed,어쌔신 크리드,Assassin's Creed,movie,"Action, Sci-Fi","액션, SF",2016,1시간 55분,15,"미국, 프랑스, 영국",5.6,211k,True,"Disney Plus, FilmBox+, Netflix, Naver Store, Amazon Prime Video, Watcha, Netflix basic with Ads",Justin Kurzel,2.0,3 DAYS,66 DAYS,678 DAYS,Assassin's Creed,movie,"Action, Adventure, Sci-Fi",2016.0,tt2094766,5.6,211190.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
godless,그 땅에는 신이 없다,Godless,tv,"Dramas, Western, Action","드라마, 서부, 액션",2017,1시간 5분,19,미국,8.2,82k,False,"Netflix, Netflix basic with Ads",,1.0,3 DAYS,37 DAYS,1368 DAYS,Godless,tv,"Action, Drama, Western",2017.0,tt5516154,8.2,81709.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
far-from-heaven,파 프롬 헤븐,Far from Heaven,movie,"Dramas, Romance, Unknown","드라마, 로맨스, 유럽에서 제작",2002,1시간 47분,,"프랑스, 미국",7.3,50k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Todd Haynes,6.0,1 DAYS,7 DAYS,104 DAYS,Far from Heaven,movie,"Drama, Romance",2002.0,tt0297884,7.3,49899.0,KR
peosikyutideu,퍼시큐티드,Persecuted,movie,"Thriller, Action, Dramas","스릴러, 액션, 드라마",2014,1시간 33분,15,미국,,,True,"Netflix, Netflix basic with Ads, Naver Store",Daniel Lusko,4.0,1 DAYS,2 DAYS,10 DAYS,Persecuted,movie,"Action, Drama, Mystery",2014.0,tt1761005,3.5,1675.0,"IN, KR, PK"
the-discovery,디스커버리,The Discovery,movie,"Romance, Sci-Fi, Thriller, Dramas","로맨스, SF, 스릴러, 드라마",2017,1시간 42분,,미국,6.2,38k,False,"Netflix, Netflix basic with Ads",Charlie McDowell,1.0,12 DAYS,37 DAYS,292 DAYS,The Discovery,movie,"Drama, Romance, Sci-Fi",2017.0,tt5155780,6.2,38058.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
tagonan-jaeneung-ben-kaseun-seutori,타고난 재능: 벤 카슨 스토리,Gifted Hands: The Ben Carson Story,movie,Dramas,드라마,2009,1시간 26분,12+,미국,7.5,17k,False,"Netflix, Netflix basic with Ads",Thomas Carter,14.0,0 DAYS,2 DAYS,31 DAYS,Gifted Hands: The Ben Carson Story,movie,"Biography, Drama",2009.0,tt1295085,7.5,16949.0,"AG, AR, AU, AZ, BB, BM, BO, BR, BS, BY, BZ, CA, CH, CL, CO, CR, CU, CY, DO, DZ, EC, FJ, FR, GB, GF, GG, GI, GR, GT, HK, HN, ID, IE, IT, JM, KR, LC, MA, MC, MD, MT, MU, MX, MY, NI, NZ, PA, PE, PF, PH, PT, PY, SG, SM, SV, TC, TH, TN, TT, TW, UA, UY, VE"
eodeuripeuteu,어드리프트: 우리가 함께한 바다,Adrift,movie,"Thriller, Romance, Action, Dramas, Unknown","스릴러, 로맨스, 액션, 드라마, 유럽에서 제작",2018,1시간 36분,,"미국, China, 아이슬란드",6.6,63k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Baltasar Kormákur,8.0,1 DAYS,38 DAYS,315 DAYS,Adrift,movie,"Action, Adventure, Biography",2018.0,tt6306064,6.6,62980.0,"IT, KR, SM, TH"
23-aidentiti,23 아이덴티티,Split,movie,"Horror, Thriller","공포, 스릴러",2016,1시간 57분,15,미국,7.3,574k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",M. Night Shyamalan,1.0,27 DAYS,486 DAYS,2785 DAYS,Split,movie,"Horror, Thriller",2016.0,tt4972582,7.3,573886.0,"AD, AG, AL, AO, AR, AZ, BA, BB, BE, BG, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DO, EC, EE, ES, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HN, HR, HU, IE, IT, JM, JP, KE, KR, LC, LT, LU, LV, MC, MD, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NL, PA, PE, PF, PL, PT, PY, RO, RS, SC, SI, SK, SM, SN, SV, TC, TR, TT, TZ, UA, UG, UY, VE, ZA, ZM, ZW"
